Age class,Body Size Mean (mm),Body Size Std (mm),Distribution,Sex Ratio,Age Mortality Out %,Age Mortality Out StDev,Age Mortality Back %,Age Mortality Back StDev,Size Mortality Out %,Size Mortality Out StDev,Size Mortality Back %,Size Mortaltiy Back StDev,Migration Out Prob,Migration Back Prob,Straying Prob,Dispersal Prob,Maturation,Fecundity Ind,Fecundity Ind StDev,Fecundity Leslie,Fecundity Leslie StDev,Capture Out Probability,Capture Back Probability
0,160.475,10,0.75,.50~.50,0,0,0,0,N,0,N,0,0.01,0.01,0,0,0,0,0,0,0,N,N
1,241.017,10,0.75,.50~.50,0,0,0,0,N,0,N,0,0.01,0.01,0,0,0,0,0,0,0,N,N
2,312.237,10,0.75,.50~.50,0,0,0,0,N,0,N,0,0.01,0.01,0,0,0,0,0,0,0,N,N
3,375.214,10,0.75,.50~.50,0,0,0,0,N,0,N,0,0.01,0.01,0,0,0,0,0,0,0,N,N
4,430.902,10,0.75,.50~.50,0,0,0,0,N,0,N,0,0.01,0.01,0,0,0,0,0,0,0,N,N
5,480.146,10,0.75,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
6,523.69,10,0.75,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
7,562.194,10,0.75,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
8,596.242,10,0.75,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
9,626.35,10,0.75,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
10,652.973,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
11,676.514,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
12,697.331,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
13,715.739,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
14,732.016,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
15,746.41,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
16,759.137,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
17,770.392,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
18,780.344,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
19,789.144,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
20,796.926,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
21,803.807,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
22,809.892,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
23,815.272,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
24,820.03,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
25,824.237,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
26,827.9570705,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
27,831.2466941,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
28,834.1555888,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
29,836.7278186,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
30,839.002348,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
31,841.0136316,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
32,842.7921367,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
33,844.3648041,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
34,845.7554567,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
35,846.9851603,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
36,848.0725425,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
37,849.0340751,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
38,849.8843234,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
39,850.6361671,10,0.5,.50~.50,0.1,0,0.1,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
40,851.3009951,10,0.3,.50~.50,0.2,0,0.2,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
41,851.8888784,10,0.3,.50~.50,0.2,0,0.2,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
42,852.4087223,10,0.3,.50~.50,0.2,0,0.2,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
43,852.8684013,10,0.3,.50~.50,0.2,0,0.2,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
44,853.2748787,10,0.3,.50~.50,0.2,0,0.2,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
45,853.6343119,10,0.3,.50~.50,0.2,0,0.2,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
46,853.9521457,10,0.3,.50~.50,0.2,0,0.2,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
47,854.2331945,10,0.3,.50~.50,0.2,0,0.2,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
48,854.4817158,10,0.3,.50~.50,0.2,0,0.2,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
49,854.7014741,10,0.3,.50~.50,0.2,0,0.2,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
50,854.8957984,10,0.2,.50~.50,0.3,0,0.3,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
51,855.0676324,10,0.2,.50~.50,0.3,0,0.3,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
52,855.2195788,10,0.2,.50~.50,0.3,0,0.3,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
53,855.3539396,10,0.2,.50~.50,0.3,0,0.3,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
54,855.4727499,10,0.2,.50~.50,0.3,0,0.3,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
55,855.5778096,10,0.2,.50~.50,0.3,0,0.3,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
56,855.6707101,10,0.2,.50~.50,0.3,0,0.3,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
57,855.7528585,10,0.2,.50~.50,0.3,0,0.3,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
58,855.8254995,10,0.2,.50~.50,0.3,0,0.3,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
59,855.8897332,10,0.2,.50~.50,0.3,0,0.3,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
60,855.9465328,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
61,855.9967585,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
62,856.0411714,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
63,856.080444,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
64,856.1151714,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
65,856.1458796,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
66,856.1730337,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
67,856.1970451,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
68,856.2182775,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
69,856.2370525,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
70,856.2536546,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
71,856.2683352,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
72,856.2813168,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
73,856.2927959,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
74,856.3029464,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
75,856.3119222,10,0.1,.50~.50,0.4,0,0.4,0,N,0,N,0,0.01,0.01,0,0,1,100,0,100,0,N,N
